lat,lon,value
57.0215868509,9.88626655577,33.3488
57.0215751837,9.88791345986,41.686
57.0215634948,9.8895603627,29.1802
57.0215517842,9.89120726428,41.686
57.0215400519,9.89285416461,33.3488
57.0215282981,9.89450106369,29.1802
57.0215165225,9.8961479615,25.0116
57.0215047253,9.89779485806,16.6744
57.0214929065,9.89944175335,20.843
57.0214810659,9.90108864737,20.843
57.0214692038,9.90273554012,16.6744
57.0214573199,9.9043824316,20.843
57.0214454144,9.90602932181,25.0116
57.0214334873,9.90767621075,20.843
57.0214215385,9.9093230984,25.0116
57.021409568,9.91096998477,29.1802
57.0213975759,9.91261686987,37.5174
57.0213855622,9.91426375367,41.686
57.0213735267,9.91591063619,52.1075
57.0213614696,9.91755751742,97.9621
57.0213493909,9.91920439736,141.7324
57.0213372905,9.920851276,164.6597
57.0213251685,9.92249815334,185.5027
57.0213130247,9.92414502939,212.5986
57.0213008594,9.92579190413,108.3836
57.0212886724,9.92743877758,125.058
57.0212764637,9.92908564971,108.3836
57.0212642333,9.93073252054,108.3836
57.0212519813,9.93237939005,125.058
57.0212397077,9.93402625826,141.7324
57.0212274124,9.93567312515,150.0696
57.0212150954,9.93731999072,241.7788
57.0212027568,9.93896685497,241.7788
57.0211903965,9.9406137179,185.5027
57.0211780146,9.9422605795,298.0549
57.021165611,9.94390743978,341.8252
57.0211531858,9.94555429873,320.9822
57.0211407389,9.94720115634,298.0549
57.0211282703,9.94884801262,212.5986
57.0211157801,9.95049486757,164.6597
57.0211032682,9.95214172118,172.9969
57.0210907347,9.95378857345,172.9969
57.0233833271,9.886309302,56.2761
57.023371659,9.8879562855,64.6133
57.0233599693,9.88960326775,64.6133
57.0233482579,9.89125024874,37.5174
57.0233365249,9.89289722848,33.3488
57.0233247702,9.89454420696,37.5174
57.0233129938,9.89619118418,33.3488
57.0233011958,9.89783816014,25.0116
57.0232893762,9.89948513484,16.6744
57.0232775348,9.90113210827,20.843
57.0232656719,9.90277908043,20.843
57.0232537872,9.90442605131,20.843
57.0232418809,9.90607302093,25.0116
57.023229953,9.90771998927,29.1802
57.0232180033,9.90936695633,45.8546
57.0232060321,9.9110139221,45.8546
57.0231940391,9.9126608866,72.9505
57.0231820245,9.91430784981,93.7935
57.0231699883,9.91595481173,141.7324
57.0231579304,9.91760177237,241.7788
57.0231458508,9.91924873171,198.0085
57.0231337496,9.92089568975,450.2088
57.0231216267,9.9225426465,531.4965
57.0231094822,9.92418960195,421.0286
57.023097316,9.9258365561,277.2119
57.0230851281,9.92748350894,212.5986
57.0230729186,9.92913046048,125.058
57.0230606874,9.93077741071,133.3952
57.0230484346,9.93242435963,229.273
57.0230361601,9.93407130724,341.8252
57.023023864,9.93571825353,389.7641
57.0230115462,9.9373651985,241.7788
57.0229992067,9.93901214215,341.8252
57.0229868456,9.94065908448,368.9211
57.0229744628,9.94230602548,450.2088
57.0229620584,9.94395296516,320.9822
57.0229496323,9.94559990351,389.7641
57.0229371845,9.94724684053,421.0286
57.0229247151,9.94889377621,341.8252
57.0229122241,9.95054071056,198.0085
57.0228997113,9.95218764356,141.7324
57.022887177,9.95383457523,93.7935
57.0251798026,9.88635205323,60.4447
57.0251681338,9.88799911615,37.5174
57.0251564433,9.88964617781,45.8546
57.0251447311,9.89129323822,64.6133
57.0251329973,9.89294029738,52.1075
57.0251212418,9.89458735527,41.686
57.0251094646,9.89623441191,33.3488
57.0250976658,9.89788146729,37.5174
57.0250858453,9.8995285214,16.6744
57.0250740032,9.90117557424,25.0116
57.0250621394,9.90282262582,25.0116
57.025050254,9.90446967612,33.3488
57.0250383468,9.90611672515,45.8546
57.0250264181,9.9077637729,68.7819
57.0250144676,9.90941081937,68.7819
57.0250024955,9.91105786457,212.5986
57.0249905018,9.91270490848,141.7324
57.0249784864,9.9143519511,229.273
57.0249664493,9.91599899244,481.4733
57.0249543906,9.91764603248,368.9211
57.0249423102,9.91929307124,368.9211
57.0249302081,9.9209401087,481.4733
57.0249180844,9.92258714486,531.4965
57.0249059391,9.92423417972,421.0286
57.024893772,9.92588121328,298.0549
57.0248815833,9.92752824554,341.8252
57.024869373,9.92917527649,229.273
57.024857141,9.93082230613,229.273
57.0248448873,9.93246933446,260.5375
57.024832612,9.93411636147,341.8252
57.024820315,9.93576338718,389.7641
57.0248079964,9.93741041156,277.2119
57.0247956561,9.93905743462,260.5375
57.0247832941,9.94070445636,320.9822
57.0247709105,9.94235147678,341.8252
57.0247585052,9.94399849586,198.0085
57.0247460783,9.94564551362,198.0085
57.0247336297,9.94729253005,212.5986
57.0247211594,9.94893954514,229.273
57.0247086675,9.9505865589,133.3952
57.0246961539,9.95223357131,141.7324
57.0246836187,9.95388058239,85.4563
57.0269762777,9.88639480945,85.4563
57.026964608,9.88804195179,116.7208
57.0269529167,9.88968909288,133.3952
57.0269412038,9.89133623272,85.4563
57.0269294691,9.8929833713,93.7935
57.0269177128,9.89463050863,108.3836
57.0269059349,9.89627764469,77.1191
57.0268941352,9.89792477949,97.9621
57.026882314,9.89957191303,116.7208
57.026870471,9.90121904529,85.4563
57.0268586064,9.90286617629,108.3836
57.0268467202,9.90451330602,93.7935
57.0268348122,9.90616043447,108.3836
57.0268228826,9.90780756165,229.273
57.0268109314,9.90945468755,260.5375
57.0267989585,9.91110181216,229.273
57.0267869639,9.9127489355,212.5986
57.0267749477,9.91439605754,320.9822
57.0267629098,9.9160431783,481.4733
57.0267508502,9.91769029777,421.0286
57.026738769,9.91933741595,341.8252
57.0267266661,9.92098453283,421.0286
57.0267145416,9.92263164841,320.9822
57.0267023954,9.9242787627,198.0085
57.0266902275,9.92592587568,368.9211
